tenure,MonthlyCharges,Number_of_InternetServices,Churn
62,110.8,5,0
41,73.0,3,1
64,100.05,3,1
4,82.85,2,0
24,84.35,2,0
14,19.55,0,0
3,19.95,0,0
4,99.8,4,1
18,35.0,1,1
8,66.25,2,0
35,23.3,0,0
1,76.0,0,1
66,25.3,0,0
8,44.55,3,0
71,104.1,4,0
43,92.55,2,0
2,93.85,2,1
29,101.45,4,0
15,84.3,2,1
65,94.55,4,0
35,95.5,3,0
64,100.3,4,0
58,55.5,4,0
18,49.85,1,0
67,89.55,2,0
63,19.15,0,0
60,99.8,3,0
9,84.4,1,1
70,113.05,6,0
15,101.1,3,1
48,19.95,0,0
12,74.15,4,0
71,92.0,4,0
44,73.85,1,0
1,50.45,0,1
45,24.45,0,0
23,24.8,0,0
43,64.85,2,0
35,20.75,0,0
9,68.95,4,0
12,99.95,3,1
65,109.4,5,0
2,91.4,2,1
27,49.0,0,0
40,50.25,1,0
5,75.55,1,1
8,19.9,0,0
58,97.8,3,0
52,100.3,4,0
3,55.8,2,0
41,111.15,6,0
20,98.55,3,0
1,50.05,0,0
4,80.8,1,1
23,20.85,0,0
6,19.5,0,0
8,19.35,0,0
18,69.5,3,0
52,48.8,3,0
31,94.5,3,0
29,20.65,0,0
36,106.05,5,0
16,100.0,3,1
42,108.3,4,0
1,20.55,0,1
60,99.65,4,0
5,85.3,2,1
22,95.9,3,0
36,20.0,0,0
4,70.4,0,1
9,64.95,3,0
1,74.6,1,0
12,49.2,1,0
23,73.75,3,0
62,92.3,3,0
37,98.8,3,1
8,19.2,0,0
31,88.65,2,0
13,74.4,0,1
24,98.75,3,1
45,95.95,3,0
69,105.4,4,0
2,20.25,0,0
61,106.0,4,1
41,104.7,4,1
44,49.05,3,0
39,35.55,2,0
72,65.1,6,0
13,96.85,3,0
51,69.75,4,0
71,99.2,4,0
22,96.7,2,1
2,55.05,2,1
56,106.8,4,0
1,51.25,1,0
23,57.75,3,0
66,70.85,3,0
1,19.55,0,0
19,88.2,2,1
11,79.5,2,0
8,19.75,0,1
52,98.15,4,0
3,20.25,0,0
51,79.15,2,0
15,75.65,0,1
64,94.25,3,0
37,40.2,2,0
13,19.95,0,0
49,55.35,1,0
45,102.15,3,0
18,71.1,0,0
1,74.7,0,1
68,54.1,4,0
54,19.65,0,0
23,88.45,3,0
17,76.65,1,1
71,80.4,5,0
67,19.25,0,0
14,84.8,1,0
1,25.8,0,1
63,19.5,0,0
41,68.6,3,0
17,92.6,2,0
56,100.55,3,0
5,20.55,0,0
2,42.6,3,1
3,19.6,0,0
37,67.45,4,0
29,68.85,4,1
8,43.55,0,0
63,109.85,5,0
7,20.65,0,0
3,95.4,3,0
72,21.0,0,0
19,56.2,1,0
59,18.4,0,0
2,90.0,3,1
35,25.75,0,0
14,19.6,0,0
14,75.35,1,1
69,19.8,0,0
7,64.2,3,0
69,75.75,5,0
72,78.95,4,0
8,100.85,3,1
4,50.3,1,0
63,80.3,2,0
72,19.85,0,0
46,21.1,0,0
5,69.95,0,1
30,50.0,1,0
63,104.75,4,0
60,19.85,0,0
63,107.5,4,1
25,85.9,2,0
1,45.85,0,1
6,80.8,1,0
22,25.25,0,0
31,80.55,4,0
39,81.5,2,0
26,20.9,0,0
53,106.1,5,1
1,91.7,3,1
12,67.25,3,0
16,95.6,3,1
2,20.35,0,0
39,45.05,3,0
1,74.95,0,1
7,34.65,2,0
4,69.35,0,0
10,95.35,2,1
55,81.55,2,0
72,75.4,4,0
10,67.8,3,0
11,111.4,5,0
15,46.3,0,0
23,20.4,0,0
1,20.05,0,0
3,45.0,0,1
47,96.1,4,0
15,19.65,0,0
66,99.5,4,1
68,60.65,3,0
17,98.6,4,1
7,59.5,2,1
12,80.45,1,1
21,71.7,3,0
21,36.0,2,0
56,65.2,2,0
6,48.95,0,0
65,53.5,4,0
42,80.45,4,0
68,109.05,5,0
48,26.3,0,0
50,106.8,4,0
7,64.95,3,0
63,19.35,0,0
17,21.1,0,0
42,77.95,1,1
4,18.85,0,0
62,26.0,0,0
2,74.7,1,1
2,70.35,0,0
48,96.9,4,0
27,19.55,0,0
70,80.4,5,0
1,88.8,2,1
46,94.65,3,0
30,90.25,2,1
15,64.65,2,1
69,95.75,3,0
65,19.55,0,0
72,104.1,5,0
13,89.05,3,1
17,20.1,0,0
51,111.55,5,0
51,60.5,3,0
72,90.95,6,0
67,87.4,2,1
34,19.7,0,0
67,50.95,4,0
49,20.05,0,0
53,19.4,0,0
27,59.45,2,0
23,94.75,3,1
69,81.5,5,0
2,29.05,1,0
35,86.45,1,1
46,70.6,4,0
54,97.2,3,0
56,98.25,3,1
9,75.75,1,1
20,59.2,2,0
11,75.9,1,0
30,90.05,2,0
68,70.95,4,0
38,102.6,4,0
17,85.35,2,1
48,106.1,4,1
1,43.8,0,0
63,59.0,5,0
3,69.95,3,0
48,24.35,0,0
66,29.45,1,0
68,84.4,2,0
17,45.05,0,1
7,20.65,0,0
72,87.1,6,0
29,19.85,0,0
37,90.35,3,0
34,109.8,5,1
42,84.65,1,1
59,65.5,3,0
11,79.5,1,1
60,80.95,1,0
27,56.15,2,0
1,85.8,1,1
1,79.1,1,1
17,34.4,2,0
58,20.75,0,0
1,18.8,0,0
3,44.3,0,1
53,90.8,3,0
35,25.6,0,0
50,105.95,4,1
68,70.8,3,0
47,25.4,0,0
65,108.8,4,0
5,69.75,0,1
51,94.65,2,1
46,96.05,2,1
9,76.85,0,0
8,20.25,0,0
14,24.8,0,0
45,115.65,6,0
8,74.6,0,0
1,50.15,1,1
66,103.15,5,0
72,72.1,4,0
41,113.6,6,1
23,25.1,0,0
29,78.9,1,1
4,80.15,1,0
6,25.4,0,0
67,105.4,5,0
7,45.75,0,0
56,24.45,0,0
72,25.0,0,0
72,85.25,5,0
23,19.6,0,0
35,50.15,0,0
27,70.55,0,0
26,60.05,2,1
12,26.4,0,0
40,20.15,0,0
7,58.85,5,0
70,97.55,3,0
60,19.65,0,0
39,25.25,0,0
72,114.45,6,0
1,34.7,1,1
54,70.7,3,0
3,85.3,1,1
63,75.55,5,0
71,84.8,2,0
42,20.65,0,0
47,20.45,0,0
66,102.45,4,1
21,104.4,4,1
11,35.65,2,0
1,99.75,3,1
55,90.45,3,0
69,97.65,4,0
3,73.85,1,0
4,74.4,4,1
30,69.1,3,0
5,82.75,2,0
71,24.4,0,0
29,55.25,1,0
52,61.35,2,0
68,76.75,4,0
46,19.4,0,0
8,54.75,1,0
72,19.7,0,0
17,19.9,0,0
3,107.95,5,0
2,83.8,2,0
9,74.25,1,1
51,56.4,4,0
6,20.1,0,0
3,94.9,2,0
17,94.2,2,0
30,49.9,0,0
31,71.05,3,0
45,81.65,5,0
64,89.45,3,0
1,59.85,1,1
1,69.6,0,1
61,99.0,3,0
1,19.05,0,0
9,45.4,2,1
72,114.45,6,0
1,19.5,0,1
7,44.25,0,0
66,90.55,3,0
1,69.9,0,1
40,20.4,0,0
16,71.4,3,0
2,87.15,2,1
67,24.85,0,0
41,104.45,5,0
56,19.8,0,0
72,116.45,6,0
3,84.75,1,1
54,20.05,0,0
52,110.75,5,0
50,89.7,3,0
14,89.95,2,1
27,48.7,1,0
72,96.6,4,0
62,74.3,4,0
12,54.3,2,0
44,74.85,4,0
54,79.95,2,0
68,20.05,0,0
20,19.4,0,0
50,54.9,1,0
58,24.45,0,0
35,89.65,2,0
2,45.4,0,0
63,75.7,4,0
58,110.65,5,0
27,20.55,0,0
71,115.15,6,0
63,58.55,2,0
71,93.25,3,0
41,113.2,5,1
13,90.5,2,1
2,79.0,1,1
68,19.35,0,0
1,48.75,1,0
65,109.05,5,0
72,25.0,0,0
28,54.9,1,0
72,24.75,0,0
2,91.15,3,0
18,20.15,0,1
60,104.35,4,0
26,66.05,2,0
1,71.65,0,1
4,20.35,0,1
68,92.2,6,0
38,84.25,3,1
42,105.2,4,0
57,19.6,0,0
54,30.4,1,0
12,78.1,1,1
44,61.5,3,0
42,69.4,3,0
72,24.75,0,0
71,91.05,6,0
19,89.65,2,1
23,73.65,3,0
30,19.4,0,0
35,26.2,0,0
10,98.7,3,1
1,43.85,0,0
22,69.7,0,0
7,38.55,3,0
36,53.1,5,0
34,20.65,0,0
72,64.45,3,0
36,25.1,0,0
1,76.35,1,1
23,79.15,1,1
32,85.0,1,1
71,95.15,4,0
23,79.35,1,0
17,96.65,3,0
1,75.5,4,0
12,19.7,0,0
72,20.5,0,0
1,19.2,0,0
72,98.35,3,0
60,74.35,0,0
61,51.35,4,0
6,45.65,0,0
32,85.3,1,1
31,86.55,1,1
19,73.85,1,1
72,20.3,0,0
32,54.2,1,0
65,90.65,2,0
45,50.9,3,0
42,25.05,0,0
8,74.85,0,0
32,20.5,0,0
22,63.55,3,0
57,44.85,2,1
1,47.95,1,0
1,45.1,0,1
1,45.0,0,0
24,96.0,3,1
1,20.05,0,1
54,90.05,2,0
4,25.3,0,0
65,108.65,5,1
56,24.3,0,0
45,75.95,4,0
71,19.7,0,0
59,66.4,4,0
69,35.75,2,0
19,18.8,0,0
55,19.4,0,0
38,19.3,0,0
10,45.55,0,1
47,67.45,3,0
2,35.1,1,1
1,46.2,0,1
1,45.15,0,1
1,43.3,3,1
46,20.1,0,0
38,57.15,2,1
65,58.9,3,0
19,73.2,1,1
52,85.35,2,1
71,19.45,0,0
1,45.95,0,1
52,50.5,4,0
6,25.1,0,0
26,60.7,2,0
48,99.0,3,0
64,104.4,4,0
3,83.75,2,1
1,44.05,0,0
72,24.1,0,0
1,45.55,0,0
51,93.8,3,0
41,19.7,0,0
72,70.65,4,0
43,86.45,5,0
72,114.1,6,0
47,95.2,2,0
72,88.55,6,0
3,20.75,0,0
1,70.05,0,1
2,86.0,1,1
26,44.65,3,0
29,60.2,2,0
35,100.5,4,1
27,55.45,2,0
24,70.3,4,0
67,60.4,3,0
16,72.65,0,1
23,55.8,2,0
14,31.1,1,0
1,21.0,0,1
1,45.1,0,1
4,50.95,3,0
16,69.1,3,0
46,43.95,2,0
68,86.5,5,0
38,69.95,4,0
30,50.4,1,1
5,78.95,1,1
17,90.95,3,0
4,19.9,0,0
12,20.15,0,0
72,90.6,6,0
3,92.0,2,0
56,94.45,3,1
41,24.85,0,0
40,36.0,2,0
7,78.5,5,0
69,19.95,0,0
7,20.65,0,0
5,30.5,1,0
72,106.1,5,0
44,20.5,0,0
65,95.5,3,0
3,64.6,2,0
24,51.1,1,0
44,84.8,2,1
72,89.1,6,0
24,54.95,2,0
1,50.9,1,1
22,20.45,0,0
70,85.95,5,0
25,60.35,1,0
37,19.8,0,0
22,85.35,1,0
59,72.1,3,0
49,99.8,3,1
47,107.35,4,1
31,19.55,0,1
1,81.05,1,0
3,20.5,0,0
53,111.8,5,0
1,20.2,0,0
20,19.7,0,0
3,79.1,2,1
51,19.85,0,0
51,60.5,3,0
13,19.55,0,0
1,20.9,0,0
1,21.05,0,0
63,71.5,4,0
3,54.65,1,0
46,19.2,0,0
1,49.8,0,0
8,25.5,0,1
71,20.5,0,0
55,90.4,2,0
70,90.25,3,0
2,80.75,1,1
67,104.6,4,0
65,91.85,2,1
14,50.2,1,0
20,95.5,3,0
1,75.35,1,1
1,75.45,0,1
49,95.4,2,0
72,101.3,4,0
46,53.1,1,0
24,84.85,2,0
5,34.25,2,0
33,88.6,3,0
42,60.15,2,0
23,99.95,4,0
8,70.7,0,0
66,54.8,2,0
24,49.55,1,1
24,54.8,1,0
69,78.6,5,1
53,100.3,4,0
60,53.6,4,0
7,81.1,1,1
20,19.35,0,0
23,85.6,1,0
72,80.8,5,0
11,74.95,0,1
21,19.6,0,0
1,93.55,2,1
31,90.7,2,0
57,69.75,4,0
45,20.0,0,0
10,95.25,3,0
58,102.1,4,1
14,19.95,0,0
27,80.85,4,0
14,90.9,2,1
12,29.2,1,1
69,93.3,3,0
25,89.15,3,1
58,108.85,5,1
35,46.35,3,0
16,84.75,1,1
45,78.75,4,0
17,83.55,2,0
1,45.7,0,1
22,19.6,0,0
1,69.95,0,1
67,67.85,4,0
67,105.65,4,0
2,44.6,2,1
23,74.95,0,1
9,75.5,1,0
5,20.15,0,0
54,45.2,3,0
57,95.25,3,1
24,89.85,2,1
49,100.45,3,1
5,47.15,0,1
2,80.2,1,1
4,87.1,2,1
70,79.25,5,0
5,75.9,0,1
53,85.7,5,0
47,98.75,4,1
31,20.1,0,0
13,61.8,3,0
28,49.9,0,0
10,86.45,1,1
38,20.4,0,0
1,45.3,0,1
67,104.1,4,1
52,75.4,4,0
62,108.15,6,0
16,86.25,2,0
5,81.0,1,1
12,95.7,3,0
72,116.85,6,0
71,105.75,4,0
24,20.15,0,0
15,19.6,0,0
67,90.6,3,1
2,60.95,2,0
5,25.05,0,0
15,88.15,2,1
1,20.2,0,1
41,60.3,3,0
43,63.95,3,0
1,74.3,0,0
1,70.6,0,0
26,90.8,2,1
22,79.35,1,1
71,90.55,6,0
7,19.45,0,0
28,64.45,3,0
16,69.65,0,0
7,19.5,0,0
69,110.5,5,0
1,24.7,0,0
3,77.4,4,0
21,96.8,3,1
69,85.4,2,0
71,47.6,4,0
69,19.4,0,0
48,103.85,4,0
47,83.35,2,1
2,49.4,0,1
45,108.45,5,0
51,81.0,1,0
22,79.2,4,1
72,86.65,6,0
37,92.95,3,0
71,90.35,6,0
7,48.7,1,1
66,25.15,0,0
51,76.4,4,0
30,19.55,0,0
34,85.35,1,0
64,24.8,0,0
65,103.15,4,0
47,100.75,4,0
1,95.6,3,1
49,59.75,2,1
67,94.1,3,0
39,19.35,0,0
14,19.9,0,0
43,108.15,5,1
56,101.05,3,0
14,59.1,2,0
1,71.35,0,1
16,55.85,2,0
70,106.05,4,0
72,84.1,5,0
23,75.3,1,0
21,24.7,0,0
1,20.15,0,1
1,69.75,0,1
32,93.2,2,1
17,80.85,1,1
4,33.65,2,1
36,55.8,1,0
50,39.7,3,0
48,29.5,1,0
50,20.15,0,0
72,79.55,5,0
10,24.8,0,0
18,19.65,0,0
1,79.95,1,1
1,19.3,0,1
9,94.05,3,0
2,90.75,2,0
40,78.85,1,0
69,99.5,3,0
37,99.2,4,1
18,80.55,1,0
11,70.2,0,0
8,85.2,1,1
3,75.25,0,1
55,59.45,2,0
33,93.35,3,0
46,44.95,0,0
34,26.1,0,0
3,20.2,0,0
30,21.25,0,0
33,59.4,2,0
45,95.0,3,0
40,61.9,3,0
71,118.65,6,0
1,54.35,1,1
72,64.45,6,0
22,80.15,1,0
46,20.2,0,0
55,21.0,0,0
1,20.45,0,0
12,75.85,3,0
31,80.45,1,0
5,24.95,0,1
67,75.5,3,0
1,44.45,0,0
40,42.35,3,1
41,74.55,4,0
1,75.3,0,1
51,94.8,3,1
42,48.15,4,0
23,19.65,0,0
1,70.55,0,1
1,20.15,0,0
56,106.6,4,0
15,91.0,2,0
12,25.4,0,0
54,69.95,4,0
7,66.85,2,0
33,86.15,1,1
16,20.15,0,0
21,64.85,3,0
30,74.85,3,0
3,50.5,1,0
11,72.9,1,0
62,115.05,6,0
18,19.0,0,0
6,19.55,0,0
46,101.1,3,0
21,84.1,1,0
68,24.15,0,0
1,50.1,0,0
25,74.6,1,0
24,19.75,0,0
30,85.0,1,1
2,80.55,1,1
51,106.8,4,0
57,84.5,5,0
15,25.05,0,0
72,83.7,6,0
2,75.8,1,1
28,96.6,3,0
29,98.5,3,1
70,101.1,5,0
13,20.2,0,0
59,94.05,4,0
13,95.25,2,1
7,74.4,0,1
62,81.0,5,0
21,60.25,3,0
2,60.85,2,0
1,43.95,0,0
4,86.05,2,0
19,20.25,0,0
30,85.15,2,1
67,19.4,0,0
72,102.65,4,0
53,19.9,0,0
5,19.55,0,0
71,95.5,4,0
50,84.15,5,0
56,103.2,4,0
2,50.2,1,0
2,88.55,2,1
24,54.75,1,1
46,19.95,0,0
71,116.25,6,0
29,31.2,1,0
69,24.45,0,0
71,84.2,5,0
1,91.3,2,1
56,85.65,6,0
56,21.2,0,0
1,79.5,1,1
28,25.55,0,0
19,20.2,0,0
66,63.85,2,0
17,61.95,2,0
52,25.75,0,0
19,58.2,2,0
36,85.85,6,0
7,70.1,0,1
72,104.9,5,0
67,111.3,5,1
34,99.85,4,0
57,95.25,3,1
7,86.25,2,1
1,100.8,3,1
8,19.55,0,0
69,104.0,4,0
50,104.4,4,0
10,19.5,0,0
12,25.25,0,0
14,86.3,2,1
70,49.85,4,0
64,108.95,5,0
66,89.9,6,0
71,82.0,5,0
20,89.95,2,0
72,79.35,5,0
71,64.05,4,0
38,101.15,3,0
28,89.95,2,1
17,76.45,1,1
33,39.1,2,0
23,34.6,2,0
58,19.55,0,0
70,104.45,4,0
4,70.5,0,0
45,20.35,0,0
10,70.0,0,1
36,19.45,0,0
54,69.9,4,0
23,59.7,2,0
41,78.35,4,0
5,71.45,0,0
27,45.85,3,0
1,95.85,3,0
67,35.7,2,0
72,89.55,6,0
56,24.95,0,0
44,24.85,0,0
66,100.8,3,0
34,64.4,3,1
69,105.35,4,0
1,102.45,4,1
40,19.65,0,0
30,54.45,1,0
11,70.5,3,0
15,20.1,0,0
11,69.35,3,0
64,19.8,0,0
72,74.4,5,0
72,93.05,4,0
1,51.2,1,0
15,65.6,4,0
60,80.55,4,0
56,52.7,2,0
8,20.85,0,0
3,80.1,2,1
49,52.15,0,0
2,80.2,1,1
6,98.15,5,1
70,114.95,6,0
12,112.95,5,1
52,104.45,5,0
72,113.65,6,0
40,20.6,0,0
1,70.9,0,1
3,86.85,2,1
40,91.55,2,0
1,49.85,1,0
30,19.8,0,0
23,99.85,4,1
1,74.5,0,1
44,104.15,4,0
65,109.15,5,1
7,48.2,1,0
72,25.1,0,0
8,100.15,3,0
16,65.2,2,1
66,99.5,3,1
1,71.55,0,1
3,55.9,2,0
53,93.9,3,1
8,64.4,3,0
69,108.4,5,1
5,85.3,2,0
72,107.45,5,0
13,48.75,3,1
4,85.65,1,1
54,91.3,6,0
72,85.95,5,0
12,106.7,4,1
1,25.15,0,1
1,45.2,0,0
54,110.35,5,1
69,79.2,1,0
48,55.5,2,0
48,103.25,4,1
8,90.25,2,0
71,91.25,6,0
2,47.8,1,1
67,100.9,4,0
34,97.7,3,0
3,69.85,0,0
9,65.6,3,0
71,104.65,5,0
57,90.45,2,0
72,63.7,6,0
48,104.5,5,0
18,20.1,0,0
43,104.3,4,0
72,93.25,6,0
35,73.45,3,0
4,20.7,0,0
49,25.25,0,0
71,100.5,4,0
11,90.6,2,0
63,89.4,6,0
65,95.45,3,0
49,20.45,0,0
29,98.6,3,1
15,83.05,2,1
4,19.95,0,0
72,109.15,5,0
26,85.7,2,0
35,102.05,3,0
57,94.7,3,0
28,64.4,2,0
25,26.8,0,0
47,66.05,3,0
57,65.2,3,0
16,85.05,1,0
5,55.8,2,0
17,70.4,0,1
56,104.75,4,1
72,19.95,0,0
21,94.25,2,1
48,45.0,3,0
68,114.9,6,0
30,106.4,4,0
3,46.1,0,0
14,39.7,3,0
4,20.05,0,0
71,95.75,3,0
8,24.4,0,0
61,33.6,2,0
72,90.45,3,0
5,84.0,1,0
49,67.4,4,0
8,19.7,0,0
3,80.35,1,0
9,19.6,0,0
67,54.2,2,0
46,45.2,0,0
67,75.1,4,0
55,19.7,0,0
33,72.75,4,0
62,20.05,0,0
1,45.95,0,1
49,39.2,2,0
1,44.75,0,0
14,82.65,2,0
18,93.9,3,0
1,70.15,0,1
1,85.55,2,1
72,117.15,6,0
64,99.25,4,0
69,112.55,6,0
1,25.7,0,0
71,90.3,6,0
66,49.4,1,0
2,19.4,0,0
71,109.7,6,0
11,61.25,2,0
47,55.3,2,0
35,70.3,0,1
32,106.35,4,1
60,103.75,4,0
11,19.5,0,0
29,39.5,3,0
21,26.05,0,0
48,91.05,2,0
3,29.65,1,0
43,50.2,1,0
5,105.3,4,0
1,55.45,1,0
71,85.45,5,0
8,19.8,0,0
8,59.25,1,0
20,90.7,2,0
33,103.7,4,1
71,79.05,1,0
31,90.7,2,0
38,95.0,3,0
1,88.35,2,1
2,30.25,1,0
12,49.85,3,0
9,93.0,4,0
11,54.55,2,0
6,19.7,0,0
71,84.8,6,0
42,94.45,3,0
8,94.2,3,1
5,96.25,3,1
2,70.7,0,1
45,20.85,0,0
28,60.0,5,0
43,80.45,1,0
60,84.95,5,0
42,33.55,2,1
7,49.65,4,0
25,20.2,0,0
40,94.55,2,1
27,100.5,3,0
10,35.75,2,0
27,86.45,2,0
11,53.8,2,0
4,38.55,2,0
68,39.9,2,0
1,70.05,0,0
18,20.1,0,0
57,112.95,5,1
26,20.3,0,0
17,35.65,2,0
1,35.9,1,1
38,99.25,3,1
59,82.95,3,0
30,55.65,2,0
2,24.45,0,1
50,25.2,0,0
9,50.8,4,0
3,19.65,0,0
14,59.8,2,0
31,73.55,1,0
7,61.4,3,0
8,103.35,4,1
17,19.9,0,0
32,19.45,0,0
2,81.5,1,0
7,84.8,1,1
72,109.55,5,0
31,99.95,3,1
27,74.4,1,0
18,90.0,2,1
7,74.9,1,0
14,104.85,4,1
11,59.65,2,0
72,110.45,5,0
28,106.1,4,1
15,74.2,0,1
4,74.45,0,0
71,24.55,0,0
5,89.35,3,1
47,24.55,0,0
57,90.65,3,0
50,105.05,4,0
8,20.45,0,0
48,19.55,0,0
70,19.7,0,0
1,70.45,4,0
8,85.65,1,0
1,77.15,0,1
1,35.25,1,1
60,20.55,0,0
49,97.95,3,0
4,48.55,3,1
29,20.0,0,0
67,25.25,0,0
53,98.4,3,1
67,70.9,4,0
6,19.85,0,0
47,106.35,4,0
53,99.5,5,0
69,84.7,6,0
3,86.05,2,0
4,44.55,0,0
56,75.85,4,0
59,93.85,2,1
61,25.0,0,0
2,45.0,0,0
46,100.7,4,1
12,20.5,0,0
14,80.45,1,1
28,90.45,2,0
24,60.45,3,0
31,55.25,2,1
68,78.45,5,0
39,100.55,3,0
42,20.35,0,0
13,54.45,4,1
6,90.75,2,0
35,75.35,0,1
38,20.25,0,0
18,20.05,0,0
4,19.6,0,0
27,53.8,2,0
41,70.2,4,0
50,75.5,4,0
72,20.35,0,0
70,26.05,0,0
44,20.6,0,0
2,75.7,1,1
34,20.1,0,0
72,24.3,0,0
71,24.5,0,0
64,110.5,5,0
72,25.25,0,0
1,74.25,0,1
29,90.1,3,0
23,68.75,4,0
52,19.2,0,0
25,89.7,2,1
64,115.1,6,0
16,96.4,2,1
1,69.5,0,1
24,99.65,3,0
2,91.45,2,0
34,84.75,6,0
36,85.25,1,1
53,78.75,4,0
47,20.25,0,0
72,19.9,0,0
72,97.75,4,0
1,19.4,0,1
9,83.3,1,1
8,80.1,1,1
45,62.7,3,1
7,100.4,4,0
71,24.45,0,0
41,101.1,4,0
67,50.9,3,0
69,107.2,5,0
70,92.2,6,0
25,25.3,0,1
72,113.4,6,0
34,40.55,2,0
65,26.0,0,0
70,111.95,6,0
72,53.8,4,0
35,72.1,3,0
13,98.15,3,1
12,78.85,4,0
62,70.75,4,0
25,76.15,4,0
52,39.1,3,0
8,69.95,0,0
2,20.05,0,0
56,20.05,0,0
12,19.45,0,0
47,26.9,0,0
2,19.2,0,0
18,50.0,1,0
8,60.0,2,0
45,84.55,2,0
3,45.45,0,0
38,20.05,0,0
72,115.55,6,0
46,93.7,3,1
71,99.0,4,0
66,50.55,3,0
25,105.95,4,1
18,82.0,4,1
13,25.0,0,0
65,91.55,6,0
60,95.75,3,1
15,19.35,0,0
72,24.85,0,0
30,94.05,2,1
42,100.4,4,0
71,25.0,0,0
1,54.75,1,1
39,95.65,2,1
35,19.25,0,0
53,108.25,5,0
1,94.6,2,1
31,98.9,4,1
48,20.15,0,0
30,101.3,3,0
10,20.0,0,0
12,105.3,4,0
57,69.85,4,0
58,65.25,3,0
37,19.8,0,0
44,19.6,0,0
27,20.05,0,0
8,49.4,1,0
3,76.05,0,1
25,88.4,3,0
57,100.6,3,0
12,19.45,0,0
62,20.3,0,0
65,107.65,5,0
71,80.45,4,0
21,58.85,2,0
71,109.6,5,0
7,75.15,1,0
72,73.0,5,0
1,70.1,0,0
72,98.65,4,0
64,111.45,5,0
72,114.9,6,0
29,100.55,3,0
13,20.4,0,0
31,104.35,4,0
1,69.75,0,1
7,34.5,2,1
61,105.55,4,1
39,30.1,1,1
10,70.3,0,1
14,80.45,4,0
1,80.2,1,1
67,94.35,3,1
72,91.35,6,0
6,44.6,0,1
1,19.6,0,1
25,19.9,0,0
33,110.45,5,1
18,68.35,4,0
71,79.1,5,0
28,51.0,0,0
2,80.55,1,0
17,66.7,3,0
56,86.4,2,0
60,50.05,4,0
33,25.7,0,0
1,83.4,3,0
2,70.7,0,1
63,84.65,2,0
7,99.25,3,1
55,64.75,3,0
65,100.15,4,0
1,84.8,2,1
63,25.25,0,0
70,113.0,6,0
36,40.65,3,0
52,105.0,5,1
22,54.45,1,1
22,94.95,4,0
5,59.9,3,0
47,85.3,2,1
33,83.35,1,1
18,33.5,2,1
1,19.8,0,0
56,81.8,5,0
2,20.0,0,0
35,59.6,2,0
64,25.0,0,0
15,84.35,2,0
24,90.35,2,1
1,55.55,1,0
70,75.35,4,0
1,90.75,2,1
4,89.6,2,1
39,59.3,2,0
29,66.1,2,0
14,18.8,0,0
61,86.45,5,0
13,52.1,1,0
66,47.4,4,0
2,49.25,3,1
59,109.15,5,0
62,94.95,3,0
33,93.55,4,0
66,79.5,5,0
72,115.05,6,0
1,19.75,0,1
19,95.15,3,1
51,95.15,3,0
63,105.4,4,0
27,20.1,0,0
22,101.35,3,1
4,20.05,0,0
42,20.7,0,0
29,20.35,0,0
4,70.05,0,1
30,19.7,0,0
4,74.65,0,1
71,85.45,6,0
46,40.4,3,0
4,50.4,0,1
7,79.65,1,1
69,105.2,4,0
72,100.65,4,0
19,79.85,1,1
28,91.0,3,0
5,78.75,1,1
72,116.75,6,0
8,80.45,1,1
7,59.1,2,0
22,49.8,1,0
72,19.3,0,0
8,19.65,0,0
52,81.4,5,0
68,38.9,3,0
71,87.95,6,0
2,19.85,0,0
34,96.35,3,0
35,24.15,0,0
61,19.1,0,0
1,44.0,0,0
1,50.1,0,1
53,60.6,2,0
72,25.65,0,0
2,76.4,1,1
3,98.7,4,1
13,100.8,3,1
41,53.95,4,0
24,20.4,0,0
28,90.1,2,1
8,29.35,1,0
1,20.45,0,0
54,95.1,3,0
41,25.25,0,0
19,44.9,0,0
72,92.65,6,0
62,43.7,4,0
56,72.6,4,0
15,51.55,0,1
10,79.25,1,1
32,18.95,0,0
21,20.5,0,0
62,19.95,0,0
2,24.5,0,0
27,20.6,0,0
5,94.85,2,1
25,61.05,5,0
2,85.7,1,1
49,106.65,4,0
63,108.25,5,0
4,20.4,0,0
1,55.3,1,0
11,20.25,0,0
52,72.95,0,0
60,89.45,2,0
64,104.65,4,0
43,75.2,4,0
61,101.15,3,0
1,44.4,0,1
5,89.5,2,1
66,68.75,4,0
67,111.05,6,0
42,99.0,4,0
1,86.05,1,1
31,21.0,0,0
7,19.4,0,0
4,44.55,2,1
34,77.2,3,0
3,19.45,0,0
19,24.85,0,0
31,35.4,2,1
1,95.65,2,1
3,41.35,3,0
46,19.6,0,0
1,20.95,0,1
69,84.45,2,0
5,20.25,0,0
1,19.65,0,0
26,20.65,0,0
10,34.7,1,1
25,99.3,4,0
64,81.05,2,0
30,67.6,4,0
13,70.15,0,0
64,115.0,6,0
46,84.8,2,0
12,19.7,0,0
15,19.75,0,1
17,92.55,2,1
13,63.15,3,0
67,74.0,4,0
24,29.1,1,0
6,50.05,1,0
53,60.05,2,1
16,74.3,1,1
10,20.0,0,0
13,74.65,1,0
9,85.35,1,1
25,74.3,5,1
7,44.4,3,0
38,85.4,5,0
43,94.1,3,0
4,98.1,4,1
25,108.9,5,0
27,56.2,2,0
72,26.1,0,0
71,85.45,2,0
24,88.95,2,0
50,109.65,5,1
